Number of Android users : 5587
Number of iPhone users : 12941
Number of IFTTT users : 1673
Number of RoundTeam users : 44
Number of twitterfeed users : 1866
Number of Web users : 9504
Number of iPad users : 815
Number of Instagram users : 1272
Number of TweetDeck users : 2315
Number of Hootsuite users : 764
Number of Facebook users : 927
Number of Paper.li users : 49
Number of Vine - Make a Scene users : 26
Number of Sports Teller users : 2
